,Title,Worldwide_Lifetime_Gross,Domestic_Lifetime_Gross,Domestic_Percentage,Foreign_Lifetime_Gross,Foreign_Lifetime_Percentage,Year,IMDB_ID,Belongs_To_Collection,Budget,Genres,Original_Language,Popularity,Release_date,Runtime,Production_Company
0,Avengers: Endgame,2797800564,858373000,30.7%,1939427564,69.3%,2019,tt4154796,86311,356000000,'Adventure',en,41.244,2019-04-24,181.0,Marvel Studios
1,Avatar,2790439000,760507625,27.2%,2029931375,72.8%,2009,tt0499549,87096,237000000,'Action',en,40.099000000000004,2009-12-10,162.0,Dune Entertainment
2,Titanic,2194439542,659363944,30%,1535075598,70%,1997,tt0120338,No Collection,200000000,'Drama',en,33.658,1997-11-18,194.0,Paramount
3,Star Wars: Episode VII - The Force Awakens,2068223624,936662225,45.3%,1131561399,54.7%,2015,tt2488496,10,245000000,'Action',en,40.452,2015-12-15,136.0,Truenorth Productions
4,Avengers: Infinity War,2048359754,678815482,33.1%,1369544272,66.9%,2018,tt4154756,86311,300000000,'Adventure',en,66.376,2018-04-25,149.0,Marvel Studios
5,Jurassic World,1670400637,652270625,39%,1018130012,61%,2015,tt0369610,328,150000000,'Action',en,36.934,2015-06-06,124.0,Fuji Television
6,The Lion King,1656943394,543638043,32.8%,1113305351,67.2%,2019,tt6105098,94032,260000000,'Adventure',en,63.071999999999996,2019-07-12,118.0,Walt Disney
7,The Avengers,1518812988,623357910,41%,895455078,59%,2012,tt0848228,86311,220000000,'Science,en,57.159,2012-04-25,143.0,Marvel Studios
8,Furious 7,1515047671,353007020,23.3%,1162040651,76.7%,2015,tt2820852,9485,190000000,'Action',en,29.926,2015-04-01,137.0,Abu Dhabi
9,Frozen II,1450026933,477373578,32.9%,972653355,67.1%,2019,tt4520988,386382,150000000,'Animation',en,79.616,2019-11-20,104.0,Walt Disney
10,Avengers: Age of Ultron,1402805868,459005868,32.7%,943800000,67.3%,2015,tt2395427,86311,250000000,'Action',en,38.051,2015-04-22,141.0,Marvel Studios
11,Black Panther,1346913161,700059566,52%,646853595,48%,2018,tt1825683,No Collection,200000000,'Action',en,41.152,2018-02-13,134.0,Marvel Studios
12,Harry Potter and the Deathly Hallows: Part 2,1341932398,381409310,28.4%,960523088,71.6%,2011,tt1201607,1241,125000000,'Fantasy',en,48.52,2011-07-07,130.0,Warner Bros.
13,Star Wars: Episode VIII - The Last Jedi,1332539889,620181382,46.5%,712358507,53.5%,2017,tt2527336,10,200000000,'Science,en,49.011,2017-12-13,152.0,Lucasfilm
14,Jurassic World: Fallen Kingdom,1308467944,417719760,31.9%,890748184,68.1%,2018,tt4881806,328,170000000,'Action',en,35.12,2018-06-06,129.0,Amblin Entertainment
15,Frozen,1280802282,400738009,31.3%,880064273,68.7%,2013,tt2294629,386382,150000000,'Animation',en,42.536,2013-11-27,102.0,Walt Disney
16,Beauty and the Beast,1263521126,504014165,39.9%,759506961,60.1%,2017,tt2771200,No Collection,160000000,'Family',en,40.898,2017-03-16,129.0,Walt Disney
17,Incredibles 2,1242805359,608581744,49%,634223615,51%,2018,tt3606756,468222,200000000,'Action',en,29.088,2018-06-14,118.0,Walt Disney
18,The Fate of the Furious,1236005118,226008385,18.3%,1009996733,81.7%,2017,tt4630562,9485,250000000,'Action',en,26.279,2017-04-12,136.0,Universal Pictures
19,Iron Man 3,1214811252,409013994,33.7%,805797258,66.3%,2013,tt1300854,131292,200000000,'Action',en,29.895,2013-04-18,130.0,Marvel Studios
20,Minions,1159398397,336045770,29%,823352627,71%,2015,tt2293640,544669,74000000,'Family',en,14.44,2015-06-17,91.0,Illumination Entertainment
21,Captain America: Civil War,1153296293,408084349,35.4%,745211944,64.6%,2016,tt3498820,131295,250000000,'Adventure',en,41.143,2016-04-27,147.0,Marvel Studios
22,Aquaman,1148461807,335061807,29.2%,813400000,70.8%,2018,tt1477834,573693,160000000,'Action',en,26.788,2018-12-07,144.0,DC Comics
23,The Lord of the Rings: The Return of the King,1142219401,377845905,33.1%,764373496,66.9%,2003,tt0167260,119,94000000,'Adventure',en,44.378,2003-12-01,201.0,New Line
24,Spider-Man: Far from Home,1131927996,390532085,34.5%,741395911,65.5%,2019,tt6320628,531241,160000000,'Action',en,71.598,2019-06-28,129.0,Marvel Studios
